SAMPLE ID2;Sample No;Location Name;Municipality;County;General Peatland Type;Specific Peatland Type;Generell myrtype;Naturtype;Detaljert Naturtype;NiN kode;Condition;Condition_notes;Notes_misc;ETRS89_UTM32_E;ETRS89_UTM32_N;Depth (cm);Depth_grouped (cm);BD (t/m3);moisture content (%);% SOM;% Ash content;SOM to SOC (conversion 0.5);C density (kg/m3);% Carbon;% Nitrogen;C:N ratio;Data collection date;Data contributors;Lab analysis
SI2;2;Sakkhusmåsan;Nes;Viken;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;651911.64;6662436.52;30-40;0-50;0.176;88.93;99.68;0.32;49.84;87.7184;47.68;1.28;37;12.08.2020;NTNU Vitenskapsmuseet;NINA GRAN
SI2;3;Sakkhusmåsan;Nes;Viken;bog;raised bog;nedbørsmyr;høgmyr;høgmyr;V3-C-1;intact;;;651911.64;6662436.52;130-140;100-150;0.03;93.83;99.65;0.35;49.82;14.946;46.36;1.02;46;12.08.2020;NTNU Vitenskapsmuseet;NINA GRAN
Tydal0018;1;Setermyra;Tydal;Trøndelag;fen;poor fen;jordvannsmyr;fattigmyr ;fattig fastmatte;V1-C-1;intact;;;636502.33;6991873.93;20-50;0-50;0.18;85.43;97.49;2.51;48.75;87.75;49.4;1.61;31;09.09.2020;NINA GRAN;NINA GRAN
Tydal0018;2;Setermyra;Tydal;Trøndelag;fen;poor fen;jordvannsmyr;fattigmyr ;fattig fastmatte;V1-C-1;intact;;;636502.33;6991873.93;100-130;100-150;0.14;89.88;99.13;0.87;49.56;69.384;49.08;2.11;23;09.09.2020;NINA GRAN;NINA GRAN
Tydal0018;3;Setermyra;Tydal;Trøndelag;fen;poor fen;jordvannsmyr;fattigmyr ;fattig fastmatte;V1-C-1;intact;;;636502.33;6991873.93;175-205;150-200;0.12;90.79;99.13;0.87;49.57;59.484;48.8;2.56;19;09.09.2020;NINA GRAN;NINA GRAN
Tydal0019;1;Setermyra;Tydal;Trøndelag;fen;intermediate fen;jordvannsmyr;intermediær myr ;intermediær fastmatte;V1-C-2;intact;;;636450.18;6991843.19;30-60;0-50;0.13;91.38;99.21;0.79;49.6;64.48;47.8;2.43;20;09.09.2020;NINA GRAN;NINA GRAN
Tydal0021;1;Setermyra;Tydal;Trøndelag;bog;bog;nedbørsmyr;nedbørsmyr;ombrotrof tue, hellende myr;V3-C-1;intact;;;636359.99;6993378.29;20-50;0-50;0.21;80.9;97.6;2.4;48.8;102.48;50.52;1.23;41;09.09.2020;NINA GRAN;NINA GRAN
Tydal0021;3;Setermyra;Tydal;Trøndelag;bog;bog;nedbørsmyr;nedbørsmyr;ombrotrof tue, hellende myr;V3-C-1;intact;;;636359.99;6993378.29;100-130;100-150;0.11;90.04;99.61;0.39;49.81;54.791;49.06;0.97;51;09.09.2020;NINA GRAN;NINA GRAN
Tydal0021;4;Setermyra;Tydal;Trøndelag;bog;bog;nedbørsmyr;nedbørsmyr;ombrotrof tue, hellende myr;V3-C-1;intact;;;636359.99;6993378.29;150-180;150-200;0.12;86.82;99.56;0.44;49.78;59.736;47.9;1.16;41;09.09.2020;NINA GRAN;NINA GRAN
Tydal51;2;Setermyra;Tydal;Trøndelag;bog;bog;nedbørsmyr;nedbørsmyr ;ombrotrof tue;V3-C-1;intact;;;636449.53;6991971.31;100-130;100-150;0.11;90.31;98.58;1.42;49.29;54.219;47.48;0.85;56;09.09.2020;NINA GRAN;NINA GRAN
Tydal51;3;Setermyra;Tydal;Trøndelag;bog;bog;nedbørsmyr;nedbørsmyr ;ombrotrof tue;V3-C-1;intact;;;636449.53;6991971.31;200-230;200-250;0.19;82.46;92.21;7.79;46.1;87.59;47.23;0.76;62;09.09.2020;NINA GRAN;NINA GRAN
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
